cited_by_doi,cited_by_oaid,cited_work_oaid,cited_work_doi,cited_work_pmid,cochrane_doi,cochrane_pmid,cited_work_id,cochrane_citation_type
https://doi.org/10.1002/14651858.cd011960.pub2,https://openalex.org/W2918696753,https://openalex.org/W2164912656,10.3324/haematol.13378,19059939,10.1002/14651858.cd011960.pub2,30080246,19059939,included
https://doi.org/10.1002/14651858.cd005158.pub4,https://openalex.org/W2118614306,https://openalex.org/W2033924621,10.1583/13-4275mr.1,24093324,10.1002/14651858.cd005158.pub4,29240976,24093324,included
https://doi.org/10.1002/14651858.cd004136.pub3,https://openalex.org/W1677944652,https://openalex.org/W2128278910,10.1007/s00125-009-1577-3,19876613,10.1002/14651858.cd004136.pub3,23235603,19876613,included
https://doi.org/10.1002/14651858.cd004587.pub2,https://openalex.org/W2165387298,https://openalex.org/W1994460424,10.1056/nejmoa062006,16971716,10.1002/14651858.cd004587.pub2,20464732,16971716,not_found
https://doi.org/10.1002/14651858.cd012481.pub2,https://openalex.org/W2564725497,https://openalex.org/W1994460424,10.1056/nejmoa062006,16971716,10.1002/14651858.cd012481.pub2,28832903,16971716,included
https://doi.org/10.1002/14651858.cd004587.pub3,https://openalex.org/W3092948102,https://openalex.org/W1994460424,10.1056/nejmoa062006,16971716,10.1002/14651858.cd004587.pub3,26484855,16971716,not_found
https://doi.org/10.1002/14651858.cd013358.pub2,https://openalex.org/W4391840505,https://openalex.org/W2148771569,10.2337/dc11-1343,22338101,10.1002/14651858.cd013358.pub2,38358047,22338101,included
https://doi.org/10.1002/14651858.cd007374.pub3,https://openalex.org/W4401793658,https://openalex.org/W2148771569,10.2337/dc11-1343,22338101,10.1002/14651858.cd007374.pub3,39171639,22338101,included
https://doi.org/10.1002/14651858.cd008347.pub3,https://openalex.org/W1854426312,https://openalex.org/W2548903965,10.1161/circinterventions.110.958348,21205939,10.1002/14651858.cd008347.pub3,25525690,21205939,excluded
https://doi.org/10.1002/14651858.cd010747.pub2,https://openalex.org/W2889374499,https://openalex.org/W2548903965,10.1161/circinterventions.110.958348,21205939,10.1002/14651858.cd010747.pub2,30155883,21205939,excluded
